LAMBDA(um),nr,ni
0.2000, 1.526, 1.07e-8 
0.2500, 1.512, 1.07e-8 
0.3000, 1.496, 1.07e-8  
0.3371, 1.484, 1.07e-8
0.4000, 1.464, 1.07e-8
0.4880, 1.456, 1.07e-8
0.5145, 1.454, 1.07e-8
0.5500, 1.454, 1.07e-8
0.6328, 1.452, 1.56e-8
0.6943, 1.452, 2.12e-8
0.8600, 1.448, 1.90e-7
1.0600, 1.443, 1.60e-6
1.3000, 1.432, 1.06e-5
1.5360, 1.425, 1.46e-4
1.8000, 1.411, 5.85e-4
2.0000, 1.405, 0.00134
2.2500, 1.390, 0.00192
2.5000, 1.362, 0.00399
2.7000, 1.319, 0.00604
3.0000, 1.288, 0.0875
3.2000, 1.292, 0.144
3.3923, 1.366, 0.178
3.5000, 1.383, 0.179
3.7500, 1.420, 0.165
4.0000, 1.435, 0.151
4.5000, 1.427, 0.156
5.0000, 1.411, 0.137
5.5000, 1.376, 0.195
6.0000, 1.485, 0.195
6.2000, 1.485, 0.147
6.5000, 1.421, 0.0841
7.2000, 1.235, 0.166
7.9000, 1.148, 0.461
8.2000, 1.220, 0.709
8.5000, 1.457, 0.840
8.7000, 1.753, 0.817
9.0000, 1.767, 0.604
9.2000, 1.704, 0.557
9.5000, 1.791, 0.736 
9.8000, 2.128, 0.465
10.0000, 2.094, 0.306
10.5910, 1.805, 0.210
11.0000, 1.823, 0.433
11.5000, 2.024, 0.199
12.5000, 1.808, 0.110
13.0000, 1.790, 0.112
14.0000, 1.739, 0.134
14.8000, 1.663, 0.163
15.0000, 1.656, 0.181
16.4000, 1.692, 0.463
17.2000, 2.003, 0.616
18.0000, 2.207, 0.166
18.5000, 2.041, 0.0940
20.0000, 1.895, 0.0558
21.3000, 1.809, 0.146
22.5000, 1.942, 0.187
25.0000, 1.993, 0.0274
27.9000, 1.916, 0.0221
30.0000, 1.866, 0.0259
35.0000, 1.856, 0.0315
40.0000, 2.093, 0.131
50.0000, 2.163, 0.238
60.0000, 2.163, 0.263
80.0000, 2.156, 0.276
100.0000, 2.173, 0.261
150.0000, 2.183, 0.172
200.0000, 2.176, 0.107
300.0000, 2.179, 0.0386
